ID,Name,Typ,Verein,Jugendverein,Land,MW
fca1,Rafal Gikiewicz,1,fca,ols,NA,A
fca2,Robert Gumny,1,fca,lech,NA,B
fca3,Mads Pedersen,1,fca,fcno,NA,B
fca4,Reece Oxford,1,fca,whu,NA,E
fca5,Tobias Strobl,1,fca,mu60,NA,D
fca6,Jeffrey Gouweleeuw,1,fca,hee,NA,E
fca7,Dion Beljo,1,fca,cib,NA,C
fca8,Renato Veiga,1,fca,spo,NA,A
fca9,Ermedin Demirovic,1,fca,rblj,NA,E
fca10,Arne Maier,1,fca,bscj,NA,G
fca11,Mergim Berisha,1,fca,rbs,NA,D
fca13,Elvis Rexhbecaj,1,fca,wobj,NA,D
fca14,Julian Baumgartlinger,1,fca,mu60,NA,C
fca16,Ruben Vargas,1,fca,luz,NA,E
fca17,Noah Sarenren Bazee,1,fca,han,NA,A
fca19,Felix Udokhai,1,fca,mu60,NA,F
fca20,Daniel Caligiuri,1,fca,scfj,NA,C
fca22,Iago,1,fca,inte,NA,C
fca23,Maximilian Bauer,1,fca,fur,NA,B
fca24,Fredrik Jensen,1,fca,twen,NA,B
fca27,Arne Engels,1,fca,brue,NA,A
fca28,Andre Hahn,1,fca,hsv,NA,D
fca30,Niklas Dorsch,1,fca,fcbj,NA,D
fca38,David Colina,1,fca,asm,NA,A
fca39,Benjamin Leneis,1,fca,fcaj,NA,A
fca40,Tomas Koubek,1,fca,kral,NA,C
fca42,Aaron Zehnter,1,fca,fcaj,NA,A
fca45,Kelvin Yeboah,1,fca,goz,NA,C
fca48,Irvin Cardona,1,fca,asm,NA,D
ols,Tempo 25 Olsztyn,2,NA,NA,POL,NA
lech,Lech Posen,2,NA,NA,POL,NA
fcno,FC Nordsjaelland,2,NA,NA,DEN,NA
whu,West Ham United,2,NA,NA,ENG,NA
hee,SC Heerenveen,2,NA,NA,NED,NA
cib,Cibalia,2,NA,NA,CRO,NA
spo,Sporting Lissabon,2,NA,NA,POR,NA
rblj,RB Leipzig Jugend,2,NA,NA,GER,NA
bscj,Hertha BSC Jugend,2,NA,NA,GER,NA
rbs,RB Salzburg,2,NA,NA,AUT,NA
wobj,VfL Wolfsburg Jugend,2,NA,NA,GER,NA
luz,FC Luzern,2,NA,NA,SUI,NA
han,Hannover 96,2,NA,NA,GER,NA
mu60,1860 München,2,NA,NA,GER,NA
scfj,SC Freiburg Jugend,2,NA,NA,GER,NA
inte,Internacional Porto Alegre,2,NA,NA,BRA,NA
fur,Greuther Fuerth,2,NA,NA,GER,NA
twen,Twente Enschede,2,NA,NA,NED,NA
brue,FC Bruegge,2,NA,NA,BEL,NA
hsv,Hamburger SV,2,NA,NA,GER,NA
fcbj,FC Bayern Jugend,2,NA,NA,GER,NA
kral,Hradec Kralove,2,NA,NA,CZE,NA
fcaj,FC Augsburg Jugend,2,NA,NA,GER,NA
goz,Gozzano,2,NA,NA,ITA,NA
asm,AS Monaco,2,NA,NA,FRA,NA
fca,FC Augsburg,2,NA,NA,GER,NA
bl,Bundesliga,3,NA,NA,NA,NA
